location_code,location_name,division_code,division_name,mean_temp_c,mean_annual_precip_mm,mean_annual_extreme_heat_days,extreme_heat_threshold_c,period_start,period_end,data_status,source_name,source_url
BD-D-MUNSHIGANJ,Munshiganj,BD-DHA,Dhaka,25.45,2936.78,27.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-MYMENSINGH,Mymensingh,BD-MYM,Mymensingh,25.20,3463.75,29.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NAOGAON,Naogaon,BD-RAJ,Rajshahi,25.27,1826.32,58.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NARAIL,Narail,BD-KHU,Khulna,25.67,2389.16,58.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NARAYANGANJ,Narayanganj,BD-DHA,Dhaka,25.45,2936.78,27.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NARSINGDI,Narsingdi,BD-DHA,Dhaka,25.40,2893.86,31.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NATORE,Natore,BD-RAJ,Rajshahi,25.50,2312.53,41.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NETROKONA,Netrokona,BD-MYM,Mymensingh,24.88,3868.96,18.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NILPHAMARI,Nilphamari,BD-RAN,Rangpur,24.81,2655.82,40.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-NOAKHALI,Noakhali,BD-CTG,Chattogram,26.22,4618.62,0.22,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-PABNA,Pabna,BD-RAJ,Rajshahi,25.56,2287.38,45.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-PANCHAGARH,Panchagarh,BD-RAN,Rangpur,24.68,2903.09,27.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-PATUAKHALI,Patuakhali,BD-BAR,Barishal,26.18,6626.05,0.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-PIROJPUR,Pirojpur,BD-BAR,Barishal,25.62,3327.36,42.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-RAJBARI,Rajbari,BD-DHA,Dhaka,25.59,2272.05,52.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-RAJSHAHI,Rajshahi,BD-RAJ,Rajshahi,25.50,1751.32,63.44,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-RANGAMATI,Rangamati,BD-CTG,Chattogram,24.28,3382.47,19.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-RANGPUR,Rangpur,BD-RAN,Rangpur,25.25,2508.40,34.22,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SATKHIRA,Satkhira,BD-KHU,Khulna,25.89,2638.05,60.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SHARIATPUR,Shariatpur,BD-DHA,Dhaka,25.48,3358.96,22.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SHERPUR,Sherpur,BD-MYM,Mymensingh,25.18,2936.30,27.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SIRAJGANJ,Sirajganj,BD-RAJ,Rajshahi,25.50,2312.53,41.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SUNAMGANJ,Sunamganj,BD-SYL,Sylhet,24.78,5256.85,5.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-SYLHET,Sylhet,BD-SYL,Sylhet,24.48,5400.17,1.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-TANGAIL,Tangail,BD-DHA,Dhaka,25.33,2863.09,33.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-THAKURGAON,Thakurgaon,BD-RAN,Rangpur,25.03,2049.55,60.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
