disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
HPAI,Avian Influenza (HPAI),2010-07-01,2010-12-31,six_monthly,2010-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD,Bangladesh,national,161,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-BAR,Barishal,division,16,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-CTG,Chattogram,division,25,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-DHA,Dhaka,division,76,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-KHU,Khulna,division,8,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-RAJ,Rajshahi,division,26,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-RAN,Rangpur,division,9,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-01-01,2011-06-30,six_monthly,2011-S1,BD-SYL,Sylhet,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD,Bangladesh,national,8,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-DHA,Dhaka,division,3,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-KHU,Khulna,division,4,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-RAJ,Rajshahi,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2011-07-01,2011-12-31,six_monthly,2011-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD,Bangladesh,national,21,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-CTG,Chattogram,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-DHA,Dhaka,division,14,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-KHU,Khulna,division,3,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-RAJ,Rajshahi,division,3,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-01-01,2012-06-30,six_monthly,2012-S1,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD,Bangladesh,national,2,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-DHA,Dhaka,division,2,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2012-07-01,2012-12-31,six_monthly,2012-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD,Bangladesh,national,2,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-DHA,Dhaka,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-RAN,Rangpur,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-01-01,2013-06-30,six_monthly,2013-S1,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD,Bangladesh,national,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-DHA,Dhaka,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2013-07-01,2013-12-31,six_monthly,2013-S2,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD,Bangladesh,national,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD-CTG,Chattogram,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD-DHA,Dhaka,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD-KHU,Khulna,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2014-01-01,2014-06-30,six_monthly,2014-S1,BD-RAJ,Rajshahi,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
